거래금액,건축년도,년,법정동,아파트,월,일,전용면적,지번,지역코드,층
"200,000",2008,2023,사직동,광화문스페이스본(106동),1,20,163.33,9-1,11110,12
"79,000",2006,2023,인의동,효성쥬얼리시티,1,26,84.7,48-2,11110,17
"12,200",2014,2023,숭인동,숭인한양LEEPS,1,20,12.78,1421-2,11110,7
"169,000",2017,2023,홍파동,경희궁자이(2단지),1,27,84.8359,199,11110,12
"18,900",1997,2023,평창동,갑을아파트,1,28,30.46,595,11110,6
"155,500",2008,2023,무악동,인왕산아이파크,1,10,114.931,60,11110,16
"99,960",2000,2023,무악동,현대,1,26,84.92,82,11110,6
"145,000",2008,2023,사직동,광화문스페이스본(101동~105동),2,8,108.07,9,11110,9
"185,000",2003,2023,내수동,경희궁파크팰리스,2,21,146.39,95,11110,13
"185,000",2003,2023,내수동,경희궁파크팰리스,2,21,146.39,95,11110,13
"38,000",2015,2023,연지동,아르젠종로,2,28,47.24,163-3,11110,13
"18,800",2014,2023,연건동,이화에수풀,2,18,16.98,195-10,11110,11
"17,000",2011,2023,충신동,CS타워,2,7,21.94,62-2,11110,15
"45,000",1966,2023,창신동,동대문,2,11,28.8,328-17,11110,1
"60,000",1992,2023,창신동,창신쌍용1,2,27,54.7,702,11110,7
"74,000",2009,2023,숭인동,종로청계힐스테이트,2,7,59.9426,766,11110,10
"72,000",2009,2023,숭인동,종로청계힐스테이트,2,13,59.9426,766,11110,18
"138,000",2008,2023,사직동,광화문스페이스본(101동~105동),3,11,94.51,9,11110,13
"143,000",2008,2023,사직동,광화문스페이스본(101동~105동),3,25,94.51,9,11110,8
"180,000",2003,2023,내수동,경희궁파크팰리스,3,27,146.33,95,11110,4
"170,000",2004,2023,내수동,경희궁의아침4단지,3,30,124.17,73,11110,7
"285,000",2020,2023,신문로2가,디팰리스,3,16,118.749,171,11110,10
"38,200",2003,2023,익선동,현대뜨레비앙,3,22,46.64,55,11110,5
"41,000",1999,2023,동숭동,동성아파트(2동),3,3,59.34,4-157,11110,1
"68,000",1992,2023,창신동,창신쌍용1,3,17,54.7,702,11110,4
"13,200",2014,2023,숭인동,삼전솔하임4차,3,2,15.09,318-2,11110,15
"13,000",2013,2023,숭인동,종로중흥S클래스,3,18,19.466,202-3,11110,15
"190,000",2008,2023,사직동,광화문스페이스본(101동~105동),4,21,160.85,9,11110,12
"220,000",2004,2023,내수동,경희궁의아침3단지,4,12,174.55,72,11110,4
"38,000",2003,2023,익선동,현대뜨레비앙,4,11,46.64,55,11110,4
"90,000",2006,2023,인의동,효성쥬얼리시티,4,9,92.81,48-2,11110,14
"85,000",2006,2023,인의동,효성쥬얼리시티,4,21,98.39,48-2,11110,9
"34,900",2003,2023,명륜1가,송림아마레스아파트,4,15,34.7,2-12,11110,6
"13,500",2013,2023,숭인동,종로중흥S클래스,4,5,19.466,202-3,11110,16
"11,000",2014,2023,숭인동,숭인한양LEEPS,4,7,12.78,1421-2,11110,7
"11,000",2013,2023,숭인동,종로아인스빌,4,13,12.15,1392-1,11110,12
"183,500",2017,2023,평동,경희궁자이(3단지),4,23,84.8359,233,11110,18
"174,000",2008,2023,사직동,광화문스페이스본(101동~105동),5,13,146.92,9,11110,3
"185,000",2008,2023,사직동,광화문스페이스본(101동~105동),5,16,160.85,9,11110,7
"213,000",2004,2023,내수동,경희궁의아침4단지,5,17,150.77,73,11110,12
"180,000",2004,2023,내수동,경희궁의아침4단지,5,20,124.17,73,11110,13
"173,000",2004,2023,내수동,경희궁의아침4단지,5,21,124.17,73,11110,14
"38,000",2003,2023,익선동,현대뜨레비앙,5,11,46.64,55,11110,3
"42,000",2003,2023,익선동,현대뜨레비앙,5,26,39.9,55,11110,8
"17,000",2017,2023,효제동,포레스트힐시티,5,13,16.672,65-2,11110,4
"39,800",2002,2023,창신동,MID그린(4동),5,2,59.55,601-5,11110,1
"13,400",2013,2023,숭인동,종로중흥S클래스,5,11,19.466,202-3,11110,13
"138,000",2008,2023,사직동,광화문스페이스본(101동~105동),6,9,95.88,9,11110,9
"170,000",2008,2023,사직동,광화문스페이스본(101동~105동),6,10,146.92,9,11110,8
"84,000",1970,2023,사직동,사직아파트,6,12,116.23,1-8,11110,6
"93,000",1981,2023,당주동,롯데미도파광화문빌딩,6,20,149.95,145,11110,9
"408,000",2020,2023,신문로2가,디팰리스,6,24,148.111,171,11110,10
"64,500",1998,2023,익선동,운현신화타워,6,24,50.31,30-6,11110,14
"40,000",2003,2023,익선동,현대뜨레비앙,6,27,46.64,55,11110,3
"17,300",2017,2023,효제동,포레스트힐시티,6,6,15.879,65-2,11110,5
"15,400",2011,2023,충신동,CS타워,6,22,22.17,62-2,11110,5
"60,000",2006,2023,명륜1가,렉스빌,6,25,80.5,19,11110,6
"209,000",2008,2023,사직동,광화문스페이스본(101동~105동),7,20,159.01,9,11110,6
"200,000",2004,2023,내수동,경희궁의아침4단지,7,15,145.96,73,11110,10
"180,000",2004,2023,내수동,경희궁의아침4단지,7,26,124.17,73,11110,10
"45,800",2003,2023,익선동,현대뜨레비앙,7,14,48.54,55,11110,9
"38,000",2003,2023,익선동,현대뜨레비앙,7,20,48.54,55,11110,3
"35,000",2003,2023,익선동,현대뜨레비앙,7,28,48.54,55,11110,2
"13,400",2011,2023,충신동,CS타워,7,11,22.17,62-2,11110,15
"83,000",2006,2023,창신동,브라운스톤창신,7,8,84.67,23-76,11110,12
"111,000",1999,2023,창신동,두산,7,26,84.9,232,11110,10
"65,000",1992,2023,창신동,창신쌍용1,7,28,54.7,702,11110,8
"113,000",2000,2023,청운동,청운현대,8,29,103.67,56-45,11110,4
"215,000",2004,2023,내수동,경희궁의아침4단지,8,11,145.96,73,11110,5
"65,000",1981,2023,신문로1가,신문로맨션,8,25,81.28,238,11110,8
"65,000",1981,2023,신문로1가,신문로맨션,8,25,81.28,238,11110,8
"41,000",2003,2023,익선동,현대뜨레비앙,8,23,48.54,55,11110,6
"21,000",2014,2023,연건동,이화에수풀,8,16,19.86,195-10,11110,7
"119,000",1995,2023,명륜2가,아남1,8,2,84.9,4,11110,10
"205,000",1999,2023,명륜2가,명륜동주상복합아남아파트,8,11,172.17,237,11110,3
"205,000",1999,2023,명륜2가,명륜동주상복합아남아파트,8,11,172.17,237,11110,3
"84,000",1999,2023,창신동,두산,8,19,59.95,232,11110,1
"102,000",2002,2023,신교동,신현(102동),9,19,121.96,6-11,11110,5
"146,500",2008,2023,사직동,광화문스페이스본(101동~105동),9,4,94.51,9,11110,9
"138,000",2008,2023,사직동,광화문스페이스본(101동~105동),9,8,95.88,9,11110,7
"146,500",2008,2023,사직동,광화문스페이스본(101동~105동),9,12,94.51,9,11110,9
"200,000",2008,2023,사직동,광화문스페이스본(101동~105동),9,15,158.99,9,11110,9
"139,000",2008,2023,사직동,광화문스페이스본(101동~105동),9,18,94.28,9,11110,2
